企业名称,电话,苗木品种数量,苗木总数量
北京绿源友益苗圃,13683150680,16,38800
北京岚山苗圃,15601369698,21,25984
北京石尚苗木种植中心,13716881990,4,13020
北京龙乡苗木种植中心,15639586918,2,2200
北京燕农农林科技发展有限公司,18510665698,2,300
北京富源苗木有限公司,13911893867,4,601
北京市城关绿景苗木种植中心,13520766568,10,5120
北京朗森园林绿化工程有限公司,15010880902,6,2900
北京市房山玄辕寺林场,13810414372,11,281321
北京红雷苗木种植中心,15910687212,8,1560
北京康继合苗木种植中心,,19,81520
北京玄辕英源林业发展有限公司,13810414372,11,281321
北京水岸花田苗木种植基地,13311235598,1,239
北京周口店马云生苗圃场,13621238485,2,210
北京拓林达园林绿化工程有限公司,,19,108000
北京大石窝永兴苗圃场,13718312763,2,1200
北京长宝伟业苗木有限公司,13240304964,3,22500
北京石窝永久农业发展有限公司,13718221808,3,1290
北京大石窝少为种植有限公司,61387692/13693298187,0,
北京惠缘种植有限公司,13552296085,6,63603
北京继伟兴业园林绿化有限公司,13501007338,2,100
北京窦店绿园种植中心,80318603/13511053972,0,
北京金樱桃农林科技发展有限公司,69397851/13051155185,3,390
北京环美绿源苗木有限公司,80319988/13910700497,20,106440
北京绿缘昊杰种植中心,13718836006,1,100
北京金地天润农业科技有限公司,15010211785,15,12350
北京星河绿源园林苗木有限公司,15001034518,0,
北京星河绿源园林苗木有限公司,13552303156,0,
北京昊森晟达种植有限公司,13511001101,1,68
北京清源林业发展有限公司,13811887971,24,2276
北京绿兴民农产品专业合作社,13331004416,1,50000
北京华源盛景园林绿化工程有限公司,13910311018,20,7403
北京亿万年花卉有限公司,18601215218,0,
北京龙华园绿化工程有限公司,18610839384,15,9680
北京峻伟种植有限公司,13910851262,1,2600
北京付志勇苗圃,61311816/13681198115,5,3600
北京市韩村河天宝花木种植园,61326559/13716375021,7,103100
北京普菊花卉种植中心,80388423/13381137125,1,800
北京市韩村河忠德苗圃场,61315033/13261005077,2,14000
北京市韩村河新兴农场,18701176654,16,1257
北京市革嘉劳务服务中心,13521004513,20,435400
北京市房山东营农场,13716786681,5,9300
北京昊欣远景科技有限公司农业发展分公司,13021178828,1,5000
北京陈仕伟业科技有限责任公司,13021178828,1,1800
北京宝玲苗木种植中心,13716815869,8,18860
北京新红兴旺苗木种植中心,13701061397,1,
北京市昊一大林业开发公司,13911612755,22,93861
北京全睿德物业管理有限责任公司,13910261027/13466365884,3,10030
九谷森林（北京）绿化工程有限公司,13811425866,0,
北京市琉璃河洪波苗圃场,13521163221,1,50
北京市琉璃河争春园林绿化服务中心,80399902/13520951525,24,26430
北京中林华瑞林业发展有限公司,15811325474,3,13030
北京静杰种植中心,13263367007,1,5000
北京绿锦苑园林绿化有限公司,13911731281,5,7150
北京香江种植专业合作社,13910290729,1,100
北京林源花苑苗木种植中心,13621133167,0,
北京天唯苗木种植园 ,13911731281,5,7150
北京金方富宏园林绿化工程有限公司,13910208024,0,
北京张坊林场,13716667502,1,1
北京龙贵绿化工程有限公司,17501004610,1,100000
北京伟望科沐种植有限公司,13120078239,1,5000
北京市鑫绿园苗圃种植场,13146515415,2,2000
北京紫竹苗木有限公司,13381133122,5,182250
北京长周苗圃,13552019311,2,170
北京文茵风景园林绿化有限公司第一分公司,15901203398,2,20060
北京北河振军实叶石材商店,15011251038,5,200300
北京昱民康畜牧科技发展有限公司,13811428793,0,
北京尚美苗木有限公司,13834719307,1,100000
长白山森工鸿美苗木有限公司北京分公司,13311067532,3,450
北京市新发昌盛花木种植中心,15313515753,9,1210
北京鸿祥园林绿化公司,15010909308,3,60180
北京市青龙湖大苑村苗圃,13910123390,3,1750
北京青龙湖艳海苗圃场,13691551036,1,200
北京山水文园园林绿化有限公司,18801392603,0,
北京美景绿都园林绿化工程有限公司,13121115370,27,60270
北京美景绿都园林绿化工程有限公司,13810049496,27,60270
北京紫雾种植有限公司,13910962220,3,1210
北京紫雾种植有限公司,15901033137,3,1210
北京劲松种植有限公司,15910718587,0,
北京盛世旺通园林绿化有限公司,,1,1000
北京宜悦农业发展有限公司,18701629166,1,10000
北京军欣园林绿化工程有限公司,15811193224,9,1205
北京郁都种植中心,18610287555,4,90700
北京北国绿园林绿化工程有限公司,13601118332,5,827
